id,name,field,value,ppm,sourceUrl
1000,"DOLIPRANE 1000MG",posology,"À compléter",18.5,""
1000,"DOLIPRANE 1000MG",contraindications,"À compléter",18.5,""
1000,"DOLIPRANE 1000MG",sideEffects,"À compléter",18.5,""
1000,"DOLIPRANE 1000MG",conservation,"À compléter",18.5,""
1001,"AMOXICILLINE 500MG",posology,"À compléter",21.5,""
1001,"AMOXICILLINE 500MG",contraindications,"À compléter",21.5,""
1001,"AMOXICILLINE 500MG",sideEffects,"À compléter",21.5,""
1001,"AMOXICILLINE 500MG",conservation,"À compléter",21.5,""
1002,"AZITHROMYCINE 500MG",posology,"À compléter",59,""
1002,"AZITHROMYCINE 500MG",contraindications,"À compléter",59,""
1002,"AZITHROMYCINE 500MG",sideEffects,"À compléter",59,""
1002,"AZITHROMYCINE 500MG",conservation,"À compléter",59,""
1004,"LORATADINE 10MG",posology,"À compléter",24.5,""
1004,"LORATADINE 10MG",contraindications,"À compléter",24.5,""
1004,"LORATADINE 10MG",sideEffects,"À compléter",24.5,""
1004,"LORATADINE 10MG",conservation,"À compléter",24.5,""
1005,"METFORMINE 850MG",posology,"À compléter",46,""
1005,"METFORMINE 850MG",contraindications,"À compléter",46,""
1005,"METFORMINE 850MG",sideEffects,"À compléter",46,""
1005,"METFORMINE 850MG",conservation,"À compléter",46,""
1006,"ATORVASTATINE 20MG",indications,"À compléter",84,""
1006,"ATORVASTATINE 20MG",posology,"À compléter",84,""
1006,"ATORVASTATINE 20MG",contraindications,"À compléter",84,""
1006,"ATORVASTATINE 20MG",sideEffects,"À compléter",84,""
1006,"ATORVASTATINE 20MG",conservation,"À compléter",84,""
1008,"OMEPRAZOLE 20MG",posology,"À compléter",29,""
1008,"OMEPRAZOLE 20MG",contraindications,"À compléter",29,""
1008,"OMEPRAZOLE 20MG",sideEffects,"À compléter",29,""
1008,"OMEPRAZOLE 20MG",conservation,"À compléter",29,""
1010,"BETA-DINE 10%",posology,"À compléter",22,""
1010,"BETA-DINE 10%",contraindications,"À compléter",22,""
1010,"BETA-DINE 10%",sideEffects,"À compléter",22,""
1010,"BETA-DINE 10%",conservation,"À compléter",22,""
1011,"SERINGUE 5ML",posology,"À compléter",3.5,""
1011,"SERINGUE 5ML",contraindications,"À compléter",3.5,""
1011,"SERINGUE 5ML",sideEffects,"À compléter",3.5,""
1011,"SERINGUE 5ML",conservation,"À compléter",3.5,""
1001,"PARACETAMOL 500MG",posology,"À compléter",25.5,""
1001,"PARACETAMOL 500MG",contraindications,"À compléter",25.5,""
1001,"PARACETAMOL 500MG",sideEffects,"À compléter",25.5,""
1001,"PARACETAMOL 500MG",conservation,"À compléter",25.5,""
1003,"AMOXICILLINE 1G",posology,"À compléter",85,""
1003,"AMOXICILLINE 1G",contraindications,"À compléter",85,""
1003,"AMOXICILLINE 1G",sideEffects,"À compléter",85,""
1003,"AMOXICILLINE 1G",conservation,"À compléter",85,""
1004,"VITAMINE C 500MG",posology,"À compléter",45,""
1004,"VITAMINE C 500MG",contraindications,"À compléter",45,""
1004,"VITAMINE C 500MG",sideEffects,"À compléter",45,""
1004,"VITAMINE C 500MG",conservation,"À compléter",45,""
1005,"OMEPRAZOLE 20MG",posology,"À compléter",78.5,""
1005,"OMEPRAZOLE 20MG",contraindications,"À compléter",78.5,""
1005,"OMEPRAZOLE 20MG",sideEffects,"À compléter",78.5,""
1005,"OMEPRAZOLE 20MG",conservation,"À compléter",78.5,""
1006,"METFORMINE 850MG",posology,"À compléter",95,""
1006,"METFORMINE 850MG",contraindications,"À compléter",95,""
1006,"METFORMINE 850MG",sideEffects,"À compléter",95,""
1006,"METFORMINE 850MG",conservation,"À compléter",95,""
1008,"SERINGUE 5ML",posology,"À compléter",3.5,""
1008,"SERINGUE 5ML",contraindications,"À compléter",3.5,""
1008,"SERINGUE 5ML",sideEffects,"À compléter",3.5,""
1008,"SERINGUE 5ML",conservation,"À compléter",3.5,""
1009,"SPARADRAP 5M X 2.5CM",posology,"À compléter",18,""
1009,"SPARADRAP 5M X 2.5CM",contraindications,"À compléter",18,""
1009,"SPARADRAP 5M X 2.5CM",sideEffects,"À compléter",18,""
1009,"SPARADRAP 5M X 2.5CM",conservation,"À compléter",18,""
1010,"LORATADINE 10MG",posology,"À compléter",42,""
1010,"LORATADINE 10MG",contraindications,"À compléter",42,""
1010,"LORATADINE 10MG",sideEffects,"À compléter",42,""
1010,"LORATADINE 10MG",conservation,"À compléter",42,""
1011,"INSULINE RAPIDE",indications,"À compléter",450,""
1011,"INSULINE RAPIDE",posology,"À compléter",450,""
1011,"INSULINE RAPIDE",contraindications,"À compléter",450,""
1011,"INSULINE RAPIDE",sideEffects,"À compléter",450,""
1011,"INSULINE RAPIDE",conservation,"À compléter",450,""
1012,"MASQUE CHIRURGICAL",indications,"À compléter",0.8,""
